                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8223,                 2.0482,                 1.5554,                 1.1937,                0.11144,                0.28755,                0.05046,                0.01989,                0.08725,                0.25322,                 0.0417,                0.01364,                 1.8674,                 5.0582,                 42.253,                0.93279,             0.00055258,             0.00055258,             0.00055258
                      2,                 1.5751,                 1.5133,                 1.0627,                 1.0753,                0.56291,                0.21557,                 0.2289,                0.08606,                0.44678,                0.20172,                0.18445,                0.07162,                 2.2732,                   3.63,                 8.5613,                 1.1424,              0.0010863,              0.0010863,              0.0010863
                      3,                 1.5237,                 1.4595,                 1.0019,                 1.0618,                0.59802,                0.30043,                0.31175,                 0.1604,                 0.4591,                0.25322,                0.25358,                0.09763,                  2.149,                 3.7602,                 14.348,                0.96718,               0.001598,               0.001598,               0.001598
                      4,                 1.4953,                 1.3957,                0.97776,                 1.0436,                0.68468,                0.24893,                0.29878,                0.12218,                 0.4677,                 0.1588,                0.19698,                0.07254,                   2.32,                 3.5076,                 7.4437,                 1.0122,               0.001568,               0.001568,               0.001568
                      5,                 1.4334,                 1.3227,                0.92574,                 1.0209,                0.74745,                0.33047,                0.34725,                0.16927,                0.48766,                0.21888,                0.22296,                0.07272,                 1.9558,                 2.9043,                 10.461,                0.97059,               0.001535,               0.001535,               0.001535
                      6,                 1.3671,                 1.2296,                0.87367,                 1.0082,                0.68562,                0.33697,                0.36338,                 0.1642,                0.42629,                0.28326,                0.24823,                0.08824,                 2.1835,                 2.5812,                 13.579,                 1.0121,               0.001502,               0.001502,               0.001502
                      7,                 1.2998,                 1.2031,                0.84394,                0.98473,                0.57879,                0.34764,                0.35071,                 0.1819,                0.48062,                 0.3133,                0.32231,                0.14052,                 1.8667,                 2.4798,                 12.076,                0.97237,               0.001469,               0.001469,               0.001469
                      8,                 1.3076,                 1.2183,                0.83014,                0.98861,                0.77696,                0.32893,                0.37267,                0.18929,                0.49331,                 0.3176,                0.31224,                0.11371,                 2.0897,                 3.0776,                  11.21,                0.94669,               0.001436,               0.001436,               0.001436
                      9,                 1.2785,                 1.0964,                0.80156,                0.97682,                0.65685,                0.35622,                0.39437,                0.18999,                0.45599,                0.26981,                0.27181,                0.09768,                 2.1031,                 3.6062,                 9.2923,                0.97519,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.2379,                 1.0894,                0.79615,                0.97657,                0.68745,                0.34335,                0.36874,                0.17617,                0.48715,                0.32189,                0.28241,                0.11265,                 1.7847,                 3.1236,                 7.7479,                0.94863,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.2006,                 1.0878,                0.76729,                0.96247,                0.72772,                0.39485,                 0.4022,                0.21881,                0.47129,                0.35622,                  0.318,                0.12035,                 1.6756,                 2.8395,                 10.516,                0.91031,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.1784,                 1.0769,                0.75337,                0.94858,                0.61618,                0.36052,                0.38249,                0.20416,                0.43811,                0.30043,                 0.2683,                0.11342,                 1.7174,                 3.0434,                 10.747,                  0.914,              0.0013039,              0.0013039,              0.0013039
                     13,                  1.202,                 1.0874,                0.75766,                 0.9516,                0.70035,                0.39121,                0.42023,                0.20966,                0.47211,                0.33047,                0.32333,                0.12495,                  1.809,                 3.6386,                 11.425,                0.91547,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.1561,                 1.0262,                0.73016,                0.94671,                0.75581,                0.36481,                0.41055,                0.22148,                0.51758,                0.35622,                0.32888,                0.12774,                 1.7094,                 3.3148,                 9.6312,                0.91547,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.1253,                 1.0225,                0.69715,                0.94472,                0.72843,                 0.3691,                0.41682,                0.22384,                0.43548,                0.32618,                0.29676,                 0.1115,                 1.6677,                  2.987,                 9.9229,                0.91037,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.1348,                0.98395,                0.73211,                0.94784,                 0.7075,                0.39056,                0.43087,                0.22704,                0.47331,                0.33476,                0.31369,                0.12589,                 1.7277,                 4.1974,                 9.3614,                0.92164,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.0917,                 1.0106,                0.68607,                0.93495,                0.74478,                0.40079,                0.43442,                0.22236,                0.49132,                0.30901,                0.27902,                0.11742,                 1.7092,                 2.8548,                  12.04,                0.89517,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.1073,                0.96422,                0.70501,                  0.933,                0.79552,                0.37339,                0.43758,                0.23899,                0.53428,                0.38627,                0.36904,                0.16725,                 1.6706,                 3.3132,                 10.413,                0.88994,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.1035,                0.98267,                 0.6864,                0.93309,                0.70702,                0.42464,                0.45361,                0.24629,                0.53593,                0.35687,                0.33148,                0.13052,                   1.73,                 2.7149,                 8.7245,                0.87835,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.0698,                0.96391,                 0.6794,                0.93196,                0.76403,                0.36052,                0.44291,                0.22615,                 0.4191,                0.32189,                0.29664,                0.10903,                 1.7767,                 2.8616,                 12.663,                0.88086,              0.0010399,              0.0010399,              0.0010399
